# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
299370,1,7,4000,HLT_Dimuon0_Jpsi_L1_NoOS_v3/5,ONE,L1_DoubleMu0_SQ/800
299370,8,0,0,HLT_Dimuon0_Jpsi_L1_NoOS_v3/0,ONE,L1_DoubleMu0_SQ/0
299370,47,7,4000,HLT_Dimuon0_Jpsi_L1_NoOS_v3/5,ONE,L1_DoubleMu0_SQ/800
299370,56,9,2534400,HLT_Dimuon0_Jpsi_L1_NoOS_v3/3168,ONE,L1_DoubleMu0_SQ/800
299370,163,10,2112000,HLT_Dimuon0_Jpsi_L1_NoOS_v3/2640,ONE,L1_DoubleMu0_SQ/800
299369,1,7,4000,HLT_Dimuon0_Jpsi_L1_NoOS_v3/5,ONE,L1_DoubleMu0_SQ/800
299368,1,0,0,HLT_Dimuon0_Jpsi_L1_NoOS_v3/0,ONE,L1_DoubleMu0_SQ/0
299368,35,7,4000,HLT_Dimuon0_Jpsi_L1_NoOS_v3/5,ONE,L1_DoubleMu0_SQ/800
300394,1,6,4000,HLT_Dimuon0_Jpsi_L1_NoOS_v4/5,ONE,L1_DoubleMu0_SQ/800
300395,1,6,4000,HLT_Dimuon0_Jpsi_L1_NoOS_v4/5,ONE,L1_DoubleMu0_SQ/800
300396,1,6,4000,HLT_Dimuon0_Jpsi_L1_NoOS_v4/5,ONE,L1_DoubleMu0_SQ/800
300397,1,6,4000,HLT_Dimuon0_Jpsi_L1_NoOS_v4/5,ONE,L1_DoubleMu0_SQ/800
300391,1,6,4000,HLT_Dimuon0_Jpsi_L1_NoOS_v4/5,ONE,L1_DoubleMu0_SQ/800
300389,1,6,1507440,HLT_Dimuon0_Jpsi_L1_NoOS_v4/2640,ONE,L1_DoubleMu0_SQ/571
300400,1,6,4000,HLT_Dimuon0_Jpsi_L1_NoOS_v4/5,ONE,L1_DoubleMu0_SQ/800
300400,93,8,2173248,HLT_Dimuon0_Jpsi_L1_NoOS_v4/3168,ONE,L1_DoubleMu0_SQ/686
300400,405,10,1507440,HLT_Dimuon0_Jpsi_L1_NoOS_v4/2640,ONE,L1_DoubleMu0_SQ/571
300401,1,0,0,HLT_Dimuon0_Jpsi_L1_NoOS_v4/0,ONE,L1_DoubleMu0_SQ/0
300401,19,10,1507440,HLT_Dimuon0_Jpsi_L1_NoOS_v4/2640,ONE,L1_DoubleMu0_SQ/571
300401,396,11,849420,HLT_Dimuon0_Jpsi_L1_NoOS_v4/1980,ONE,L1_DoubleMu0_SQ/429
300392,1,6,4000,HLT_Dimuon0_Jpsi_L1_NoOS_v4/5,ONE,L1_DoubleMu0_SQ/800
300393,1,6,4000,HLT_Dimuon0_Jpsi_L1_NoOS_v4/5,ONE,L1_DoubleMu0_SQ/800
300390,1,0,0,HLT_Dimuon0_Jpsi_L1_NoOS_v4/0,ONE,L1_DoubleMu0_SQ/0
300390,2,6,4000,HLT_Dimuon0_Jpsi_L1_NoOS_v4/5,ONE,L1_DoubleMu0_SQ/800
300398,1,6,4000,HLT_Dimuon0_Jpsi_L1_NoOS_v4/5,ONE,L1_DoubleMu0_SQ/800
300399,1,6,4000,HLT_Dimuon0_Jpsi_L1_NoOS_v4/5,ONE,L1_DoubleMu0_SQ/800
301161,1,0,0,HLT_Dimuon0_Jpsi_L1_NoOS_v4/0,ONE,L1_DoubleMu0_SQ/0
301161,36,7,240,HLT_Dimuon0_Jpsi_L1_NoOS_v4/2,ONE,L1_DoubleMu0_SQ/120
301161,410,8,130,HLT_Dimuon0_Jpsi_L1_NoOS_v4/2,ONE,L1_DoubleMu0_SQ/65
301165,1,8,130,HLT_Dimuon0_Jpsi_L1_NoOS_v4/2,ONE,L1_DoubleMu0_SQ/65
302503,1,0,0,HLT_Dimuon0_Jpsi_L1_NoOS_v5/0,ONE,L1_DoubleMu0_SQ/0
302503,8,9,288,HLT_Dimuon0_Jpsi_L1_NoOS_v5/9,ONE,L1_DoubleMu0_SQ/32
305040,1,0,0,HLT_Dimuon0_Jpsi_L1_NoOS_v5/0,ONE,L1_DoubleMu0_SQ/0
305040,44,1,2150,HLT_Dimuon0_Jpsi_L1_NoOS_v5/5,ONE,L1_DoubleMu0_SQ/430
305040,76,2,1800,HLT_Dimuon0_Jpsi_L1_NoOS_v5/3,ONE,L1_DoubleMu0_SQ/600
305040,89,1,2150,HLT_Dimuon0_Jpsi_L1_NoOS_v5/5,ONE,L1_DoubleMu0_SQ/430
305036,1,0,0,HLT_Dimuon0_Jpsi_L1_NoOS_v5/0,ONE,L1_DoubleMu0_SQ/0
305024,1,0,0,HLT_Dimuon0_Jpsi_L1_NoOS_v5/1,ONE,L1_DoubleMu0_SQ/0
305046,1,8,520,HLT_Dimuon0_Jpsi_L1_NoOS_v5/8,ONE,L1_DoubleMu0_SQ/65
305046,5,7,840,HLT_Dimuon0_Jpsi_L1_NoOS_v5/7,ONE,L1_DoubleMu0_SQ/120
305046,267,8,520,HLT_Dimuon0_Jpsi_L1_NoOS_v5/8,ONE,L1_DoubleMu0_SQ/65
305034,1,0,0,HLT_Dimuon0_Jpsi_L1_NoOS_v5/0,ONE,L1_DoubleMu0_SQ/0
305043,1,1,2150,HLT_Dimuon0_Jpsi_L1_NoOS_v5/5,ONE,L1_DoubleMu0_SQ/430
