# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
175832,1,0,300,HLT_Dimuon0_Jpsi_NoVertexing_v3/300,ONE,L1_DoubleMu0_HighQ/1
175832,35,4,120,HLT_Dimuon0_Jpsi_NoVertexing_v3/120,ONE,L1_DoubleMu0_HighQ/1
175832,81,8,30,HLT_Dimuon0_Jpsi_NoVertexing_v3/30,ONE,L1_DoubleMu0_HighQ/1
175860,1,6,60,HLT_Dimuon0_Jpsi_NoVertexing_v3/60,ONE,L1_DoubleMu0_HighQ/1
178100,1,3,180,HLT_Dimuon0_Jpsi_NoVertexing_v3/180,ONE,L1_DoubleMu0_HighQ/1
178101,1,3,180,HLT_Dimuon0_Jpsi_NoVertexing_v3/180,ONE,L1_DoubleMu0_HighQ/1
178365,1,1,240,HLT_Dimuon0_Jpsi_NoVertexing_v3/240,ONE,L1_DoubleMu0_HighQ/1
178365,209,2,180,HLT_Dimuon0_Jpsi_NoVertexing_v3/180,ONE,L1_DoubleMu0_HighQ/1
178365,610,3,180,HLT_Dimuon0_Jpsi_NoVertexing_v3/180,ONE,L1_DoubleMu0_HighQ/1
178367,1,3,180,HLT_Dimuon0_Jpsi_NoVertexing_v3/180,ONE,L1_DoubleMu0_HighQ/1
194076,1,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v11/200,ONE,L1_DoubleMu0er_HighQ/1
194076,564,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v11/200,ONE,L1_DoubleMu0er_HighQ/1
195947,1,9,0,HLT_Dimuon0_Jpsi_NoVertexing_v12/0,ONE,L1_DoubleMu0er_HighQ/1
195947,3,2,200,HLT_Dimuon0_Jpsi_NoVertexing_v12/200,ONE,L1_DoubleMu0er_HighQ/1
195948,1,2,200,HLT_Dimuon0_Jpsi_NoVertexing_v12/200,ONE,L1_DoubleMu0er_HighQ/1
196351,1,2,200,HLT_Dimuon0_Jpsi_NoVertexing_v12/200,ONE,L1_DoubleMu0er_HighQ/1
196351,37,1,200,HLT_Dimuon0_Jpsi_NoVertexing_v12/200,ONE,L1_DoubleMu0er_HighQ/1
196351,50,2,200,HLT_Dimuon0_Jpsi_NoVertexing_v12/200,ONE,L1_DoubleMu0er_HighQ/1
196364,1,2,200,HLT_Dimuon0_Jpsi_NoVertexing_v12/200,ONE,L1_DoubleMu0er_HighQ/1
196364,815,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v12/200,ONE,L1_DoubleMu0er_HighQ/1
200229,1,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
200229,85,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
202973,1,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
202973,1312,5,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
205777,1,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
206605,1,5,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
208352,1,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
208395,1,5,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
170826,1,3,55,HLT_Dimuon0_Jpsi_NoVertexing_v2/55,ONE,L1_DoubleMu0/1
170826,48,4,40,HLT_Dimuon0_Jpsi_NoVertexing_v2/40,ONE,L1_DoubleMu0/1
204100,1,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
204100,144,4,1,HLT_Dimuon0_Jpsi_NoVertexing_v14/1,ONE,L1_DoubleMu0er_HighQ/1
204545,1,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
204545,94,5,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
205667,1,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
205667,202,5,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
207328,1,7,1,HLT_Dimuon0_Jpsi_NoVertexing_v14/1,ONE,L1_DoubleMu0er_HighQ/1
207889,1,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
207889,33,5,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
178380,1,3,180,HLT_Dimuon0_Jpsi_NoVertexing_v3/180,ONE,L1_DoubleMu0_HighQ/1
178420,1,1,160,HLT_Dimuon0_Jpsi_NoVertexing_v6/160,ONE,L1_DoubleMu0_HighQ/1
178420,5,2,120,HLT_Dimuon0_Jpsi_NoVertexing_v6/120,ONE,L1_DoubleMu0_HighQ/1
178420,47,1,160,HLT_Dimuon0_Jpsi_NoVertexing_v6/160,ONE,L1_DoubleMu0_HighQ/1
178420,54,2,120,HLT_Dimuon0_Jpsi_NoVertexing_v6/120,ONE,L1_DoubleMu0_HighQ/1
178479,1,0,200,HLT_Dimuon0_Jpsi_NoVertexing_v6/200,ONE,L1_DoubleMu0_HighQ/1
178479,3,2,120,HLT_Dimuon0_Jpsi_NoVertexing_v6/120,ONE,L1_DoubleMu0_HighQ/1
178479,68,1,160,HLT_Dimuon0_Jpsi_NoVertexing_v6/160,ONE,L1_DoubleMu0_HighQ/1
178479,189,2,1,HLT_Dimuon0_Jpsi_NoVertexing_v6/1,ONE,L1_DoubleMu0_HighQ/1
178479,637,3,1,HLT_Dimuon0_Jpsi_NoVertexing_v6/1,ONE,L1_DoubleMu0_HighQ/1
190662,1,3,80,HLT_Dimuon0_Jpsi_NoVertexing_v11/80,ONE,L1_DoubleMu0er_HighQ/1
191202,1,2,120,HLT_Dimuon0_Jpsi_NoVertexing_v11/120,ONE,L1_DoubleMu0er_HighQ/1
193334,1,0,200,HLT_Dimuon0_Jpsi_NoVertexing_v11/200,ONE,L1_DoubleMu0er_HighQ/1
193917,1,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v11/200,ONE,L1_DoubleMu0er_HighQ/1
195014,1,2,200,HLT_Dimuon0_Jpsi_NoVertexing_v12/200,ONE,L1_DoubleMu0er_HighQ/1
195015,1,2,200,HLT_Dimuon0_Jpsi_NoVertexing_v12/200,ONE,L1_DoubleMu0er_HighQ/1
195749,1,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v12/200,ONE,L1_DoubleMu0er_HighQ/1
200091,1,9,0,HLT_Dimuon0_Jpsi_NoVertexing_v14/0,ONE,L1_DoubleMu0er_HighQ/1
200091,2,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
200091,701,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
206207,1,8,0,HLT_Dimuon0_Jpsi_NoVertexing_v14/0,ONE,L1_DoubleMu0er_HighQ/262139
206207,3,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
206207,148,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
206550,1,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
206550,76,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
207316,1,5,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
194314,1,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v11/200,ONE,L1_DoubleMu0er_HighQ/1
195644,1,2,200,HLT_Dimuon0_Jpsi_NoVertexing_v12/200,ONE,L1_DoubleMu0er_HighQ/1
205627,1,5,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
205627,123,6,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
170307,1,6,30,HLT_Dimuon0_Jpsi_NoVertexing_v2/30,ONE,L1_DoubleMu0/1
170348,1,1,150,HLT_Dimuon0_Jpsi_NoVertexing_v2/150,ONE,L1_DoubleMu0/1
170348,6,4,40,HLT_Dimuon0_Jpsi_NoVertexing_v2/40,ONE,L1_DoubleMu0/1
170348,105,3,55,HLT_Dimuon0_Jpsi_NoVertexing_v2/55,ONE,L1_DoubleMu0/1
170348,113,4,40,HLT_Dimuon0_Jpsi_NoVertexing_v2/40,ONE,L1_DoubleMu0/1
170348,143,5,40,HLT_Dimuon0_Jpsi_NoVertexing_v2/40,ONE,L1_DoubleMu0/1
170354,1,5,40,HLT_Dimuon0_Jpsi_NoVertexing_v2/40,ONE,L1_DoubleMu0/1
170354,291,6,30,HLT_Dimuon0_Jpsi_NoVertexing_v2/30,ONE,L1_DoubleMu0/1
171106,1,3,55,HLT_Dimuon0_Jpsi_NoVertexing_v2/55,ONE,L1_DoubleMu0/1
171106,29,4,40,HLT_Dimuon0_Jpsi_NoVertexing_v2/40,ONE,L1_DoubleMu0/1
171117,1,4,40,HLT_Dimuon0_Jpsi_NoVertexing_v2/40,ONE,L1_DoubleMu0/1
171219,1,2,120,HLT_Dimuon0_Jpsi_NoVertexing_v2/120,ONE,L1_DoubleMu0/1
172791,1,0,180,HLT_Dimuon0_Jpsi_NoVertexing_v2/180,ONE,L1_DoubleMu0/1
172791,68,2,120,HLT_Dimuon0_Jpsi_NoVertexing_v2/120,ONE,L1_DoubleMu0/1
172791,665,3,55,HLT_Dimuon0_Jpsi_NoVertexing_v2/55,ONE,L1_DoubleMu0/1
172799,1,3,55,HLT_Dimuon0_Jpsi_NoVertexing_v2/55,ONE,L1_DoubleMu0/1
172799,203,4,40,HLT_Dimuon0_Jpsi_NoVertexing_v2/40,ONE,L1_DoubleMu0/1
195913,1,2,200,HLT_Dimuon0_Jpsi_NoVertexing_v12/200,ONE,L1_DoubleMu0er_HighQ/1
195930,1,2,200,HLT_Dimuon0_Jpsi_NoVertexing_v12/200,ONE,L1_DoubleMu0er_HighQ/1
195930,150,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v12/200,ONE,L1_DoubleMu0er_HighQ/1
195936,1,4,1,HLT_Dimuon0_Jpsi_NoVertexing_v12/1,ONE,L1_DoubleMu0er_HighQ/1
196131,1,2,200,HLT_Dimuon0_Jpsi_NoVertexing_v12/200,ONE,L1_DoubleMu0er_HighQ/1
196497,1,2,200,HLT_Dimuon0_Jpsi_NoVertexing_v12/200,ONE,L1_DoubleMu0er_HighQ/1
198022,1,9,0,HLT_Dimuon0_Jpsi_NoVertexing_v13/0,ONE,L1_DoubleMu0er_HighQ/1
198022,73,6,8,HLT_Dimuon0_Jpsi_NoVertexing_v13/8,ONE,L1_DoubleMu0er_HighQ/1
198022,101,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v13/200,ONE,L1_DoubleMu0er_HighQ/1
198022,109,6,8,HLT_Dimuon0_Jpsi_NoVertexing_v13/8,ONE,L1_DoubleMu0er_HighQ/1
198022,113,5,200,HLT_Dimuon0_Jpsi_NoVertexing_v13/200,ONE,L1_DoubleMu0er_HighQ/1
202205,1,2,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
202205,93,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
202207,1,3,1,HLT_Dimuon0_Jpsi_NoVertexing_v14/1,ONE,L1_DoubleMu0er_HighQ/1
202208,1,3,1,HLT_Dimuon0_Jpsi_NoVertexing_v14/1,ONE,L1_DoubleMu0er_HighQ/1
202209,1,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
202237,1,2,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
202237,102,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
202237,986,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
205310,1,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
205310,75,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
205718,1,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
205718,168,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
205718,703,5,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
206088,1,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
206088,93,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
206102,1,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
206102,60,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
206102,64,3,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
206102,83,4,200,HLT_Dimuon0_Jpsi_NoVertexing_v14/200,ONE,L1_DoubleMu0er_HighQ/1
