# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
315633,1,1,10,HLT_DoubleMu4_3_Jpsi_v1/10,OR,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1
315633,5,2,10,HLT_DoubleMu4_3_Jpsi_v1/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
315645,1,2,10,HLT_DoubleMu4_3_Jpsi_v1/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
315646,1,2,10,HLT_DoubleMu4_3_Jpsi_v1/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
315647,1,2,10,HLT_DoubleMu4_3_Jpsi_v1/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
315641,1,2,1,HLT_DoubleMu4_3_Jpsi_v1/1,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
315642,1,2,10,HLT_DoubleMu4_3_Jpsi_v1/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
315644,1,2,10,HLT_DoubleMu4_3_Jpsi_v1/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
315640,1,2,10,HLT_DoubleMu4_3_Jpsi_v1/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
315648,1,2,10,HLT_DoubleMu4_3_Jpsi_v1/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
316069,1,2,1,HLT_DoubleMu4_3_Jpsi_v1/1,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
316082,1,2,10,HLT_DoubleMu4_3_Jpsi_v1/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
316456,1,2,1,HLT_DoubleMu4_3_Jpsi_v2/1,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
316455,1,2,10,HLT_DoubleMu4_3_Jpsi_v2/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
316455,68,3,10,HLT_DoubleMu4_3_Jpsi_v2/10,OR,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1
316457,1,2,10,HLT_DoubleMu4_3_Jpsi_v2/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
316457,12,7,10,HLT_DoubleMu4_3_Jpsi_v2/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
316457,19,3,10,HLT_DoubleMu4_3_Jpsi_v2/10,OR,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1
316457,130,5,10,HLT_DoubleMu4_3_Jpsi_v2/10,OR,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1
316457,143,2,10,HLT_DoubleMu4_3_Jpsi_v2/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
316457,154,5,10,HLT_DoubleMu4_3_Jpsi_v2/10,OR,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1
316457,161,4,10,HLT_DoubleMu4_3_Jpsi_v2/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
316457,416,5,10,HLT_DoubleMu4_3_Jpsi_v2/10,OR,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1
316457,771,6,10,HLT_DoubleMu4_3_Jpsi_v2/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
316457,1355,7,10,HLT_DoubleMu4_3_Jpsi_v2/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
315543,1,3,10,HLT_DoubleMu4_3_Jpsi_v1/10,OR,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1
316664,1,2,10,HLT_DoubleMu4_3_Jpsi_v2/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
316667,1,7,10,HLT_DoubleMu4_3_Jpsi_v2/10,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1
