# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
175832,1,0,0,HLT_DoubleMu4_Jpsi_Displaced_v1/0,ONE,L1_DoubleMu0_HighQ/1
175832,35,4,1,HLT_DoubleMu4_Jpsi_Displaced_v1/1,ONE,L1_DoubleMu0_HighQ/1
175832,81,8,1,HLT_DoubleMu4_Jpsi_Displaced_v1/1,ONE,L1_DoubleMu0_HighQ/1
175860,1,6,1,HLT_DoubleMu4_Jpsi_Displaced_v1/1,ONE,L1_DoubleMu0_HighQ/1
178100,1,3,1,HLT_DoubleMu4_Jpsi_Displaced_v1/1,ONE,L1_DoubleMu0_HighQ/1
178101,1,3,1,HLT_DoubleMu4_Jpsi_Displaced_v1/1,ONE,L1_DoubleMu0_HighQ/1
178365,1,1,1,HLT_DoubleMu4_Jpsi_Displaced_v1/1,ONE,L1_DoubleMu0_HighQ/1
178365,209,2,1,HLT_DoubleMu4_Jpsi_Displaced_v1/1,ONE,L1_DoubleMu0_HighQ/1
178365,610,3,1,HLT_DoubleMu4_Jpsi_Displaced_v1/1,ONE,L1_DoubleMu0_HighQ/1
178367,1,3,1,HLT_DoubleMu4_Jpsi_Displaced_v1/1,ONE,L1_DoubleMu0_HighQ/1
194076,1,3,1,HLT_DoubleMu4_Jpsi_Displaced_v9/1,ONE,L1_DoubleMu3er_HighQ_WdEta22/1
194076,564,4,1,HLT_DoubleMu4_Jpsi_Displaced_v9/1,ONE,L1_DoubleMu3er_HighQ_WdEta22/1
195947,1,9,0,HLT_DoubleMu4_Jpsi_Displaced_v10/0,ONE,L1_DoubleMu3er_HighQ_WdEta22/1
195947,3,2,1,HLT_DoubleMu4_Jpsi_Displaced_v10/1,ONE,L1_DoubleMu3er_HighQ_WdEta22/1
195948,1,2,1,HLT_DoubleMu4_Jpsi_Displaced_v10/1,ONE,L1_DoubleMu3er_HighQ_WdEta22/1
196351,1,2,1,HLT_DoubleMu4_Jpsi_Displaced_v10/1,ONE,L1_DoubleMu3er_HighQ_WdEta22/1
196351,37,1,1,HLT_DoubleMu4_Jpsi_Displaced_v10/1,ONE,L1_DoubleMu3er_HighQ_WdEta22/1
196351,50,2,1,HLT_DoubleMu4_Jpsi_Displaced_v10/1,ONE,L1_DoubleMu3er_HighQ_WdEta22/1
196364,1,2,1,HLT_DoubleMu4_Jpsi_Displaced_v10/1,ONE,L1_DoubleMu3er_HighQ_WdEta22/1
196364,815,4,1,HLT_DoubleMu4_Jpsi_Displaced_v10/1,ONE,L1_DoubleMu3er_HighQ_WdEta22/1
200229,1,3,1,HLT_DoubleMu4_Jpsi_Displaced_v12/1,ONE,L1_DoubleMu3er_HighQ_WdEta22/1
200229,85,4,1,HLT_DoubleMu4_Jpsi_Displaced_v12/1,ONE,L1_DoubleMu3er_HighQ_WdEta22/1
202973,1,4,1,HLT_DoubleMu4_Jpsi_Displaced_v12/1,ONE,L1_DoubleMu3er_HighQ_WdEta22/1
202973,1312,5,1,HLT_DoubleMu4_Jpsi_Displaced_v12/1,ONE,L1_DoubleMu3er_HighQ_WdEta22/1
205777,1,4,1,HLT_DoubleMu4_Jpsi_Displaced_v12/1,ONE,L1_DoubleMu3er_HighQ_WdEta22/1
206605,1,5,1,HLT_DoubleMu4_Jpsi_Displaced_v12/1,ONE,L1_DoubleMu3er_HighQ_WdEta22/1
