# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
297039,1,0,0,HLT_DoubleMu4_Jpsi_NoVertexing_v1/0,OR,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/0 L1_DoubleMu4p5_SQ_OS_dR_Max1p2/0 L1_DoubleMu4_SQ_OS_dR_Max1p2/0 L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/0
297039,6,3,30,HLT_DoubleMu4_Jpsi_NoVertexing_v1/30,OR,L1_DoubleMu4p5_SQ_OS_dR_Max1p2/1 L1_DoubleMu4_SQ_OS_dR_Max1p2/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1
297039,27,6,0,HLT_DoubleMu4_Jpsi_NoVertexing_v1/0,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1 L1_DoubleMu4_SQ_OS_dR_Max1p2/1 L1_DoubleMu4p5_SQ_OS_dR_Max1p2/1
297046,1,0,0,HLT_DoubleMu4_Jpsi_NoVertexing_v1/0,OR,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/0 L1_DoubleMu4p5_SQ_OS_dR_Max1p2/0 L1_DoubleMu4_SQ_OS_dR_Max1p2/0 L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/0
297046,40,3,30,HLT_DoubleMu4_Jpsi_NoVertexing_v1/30,OR,L1_DoubleMu4p5_SQ_OS_dR_Max1p2/1 L1_DoubleMu4_SQ_OS_dR_Max1p2/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1
297050,1,6,0,HLT_DoubleMu4_Jpsi_NoVertexing_v1/0,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1 L1_DoubleMu4_SQ_OS_dR_Max1p2/1 L1_DoubleMu4p5_SQ_OS_dR_Max1p2/1
297050,12,3,30,HLT_DoubleMu4_Jpsi_NoVertexing_v1/30,OR,L1_DoubleMu4p5_SQ_OS_dR_Max1p2/1 L1_DoubleMu4_SQ_OS_dR_Max1p2/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1
297047,1,0,0,HLT_DoubleMu4_Jpsi_NoVertexing_v1/0,OR,L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/0 L1_DoubleMu4p5_SQ_OS_dR_Max1p2/0 L1_DoubleMu4_SQ_OS_dR_Max1p2/0 L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/0
297047,4,3,30,HLT_DoubleMu4_Jpsi_NoVertexing_v1/30,OR,L1_DoubleMu4p5_SQ_OS_dR_Max1p2/1 L1_DoubleMu4_SQ_OS_dR_Max1p2/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1
297047,14,6,0,HLT_DoubleMu4_Jpsi_NoVertexing_v1/0,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1 L1_DoubleMu4_SQ_OS_dR_Max1p2/1 L1_DoubleMu4p5_SQ_OS_dR_Max1p2/1
297049,1,6,0,HLT_DoubleMu4_Jpsi_NoVertexing_v1/0,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1 L1_DoubleMu4_SQ_OS_dR_Max1p2/1 L1_DoubleMu4p5_SQ_OS_dR_Max1p2/1
297048,1,6,0,HLT_DoubleMu4_Jpsi_NoVertexing_v1/0,OR,L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4/1 L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4/1 L1_DoubleMu4_SQ_OS_dR_Max1p2/1 L1_DoubleMu4p5_SQ_OS_dR_Max1p2/1
