# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
272612,1,0,0,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/0
272617,1,0,0,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/0
272674,1,0,0,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/0
272674,21,11,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272761,1,11,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272760,1,0,0,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/0
272760,11,11,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272774,1,0,0,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/0
272774,10,10,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272771,1,0,0,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/0
272771,4,11,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272775,1,10,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272775,119,11,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272775,125,10,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272776,1,10,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272776,37,11,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272776,48,10,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272829,1,7,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272828,1,6,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272828,50,7,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272827,1,0,0,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/0
272827,12,6,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272922,1,0,0,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/0
272922,19,5,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272924,1,6,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272927,1,6,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272927,11,5,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272927,64,6,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272929,None,None,1,HLT_IsoMu24_v1,ONE,L1_SingleMu22
272930,1,6,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272930,17,5,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272930,156,0,0,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/0
272930,160,5,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272921,1,0,0,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/0
272923,1,5,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
272925,None,None,1,HLT_IsoMu24_v1,ONE,L1_SingleMu22
272926,1,6,1,HLT_IsoMu24_v1/1,ONE,L1_SingleMu22/1
