# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
302503,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
302503,8,9,140,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/140
305040,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
305040,44,1,1300,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1300
305040,76,2,1100,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1100
305040,89,1,1300,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1300
305036,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
305024,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
305046,1,8,280,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/280
305046,5,7,430,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/430
305046,267,8,280,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/280
305034,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
305043,1,1,1300,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1300
305033,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
305027,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
305044,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
305044,3,1,1300,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1300
305044,56,2,1100,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1100
305045,1,2,1100,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1100
305045,2,3,980,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/980
305045,67,4,820,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/820
305045,143,5,700,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/700
305045,286,6,580,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/580
305045,376,7,430,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/430
305045,789,8,280,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/280
305035,1,0,2500,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/2500
305179,1,10,1300,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1300
305182,1,10,1300,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1300
305183,1,10,1300,HLT_Mu19_v1/1,ONE,L1_SingleMu10_LowQ/1300
