# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
254790,1,1,300,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/300
254790,3,7,14,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/14
254833,1,1,300,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/300
254833,126,6,20,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/20
254833,317,7,14,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/14
254879,1,1,300,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/300
254879,33,7,14,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/14
254905,1,1,300,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/300
254905,39,6,20,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/20
254906,1,6,20,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/20
254913,1,1,300,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/300
254914,6,1,300,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/300
256674,1,5,60,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/60
257461,1,1,300,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/300
257461,35,5,60,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/60
257461,38,4,105,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/105
257461,69,5,60,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/60
257804,1,6,30,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/30
257804,6,5,60,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/60
257816,1,5,60,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/60
258159,1,5,60,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/60
258312,1,5,60,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/60
258313,1,5,60,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/60
258319,1,5,60,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/60
259464,1,10,2,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/2
259453,1,10,2,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/2
259456,1,10,2,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/2
259457,1,10,2,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/2
259458,1,10,2,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/2
260627,1,1,300,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/300
260627,4,4,105,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/105
260627,108,3,150,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/150
260627,128,4,105,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/105
260627,213,3,150,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/150
260627,575,4,105,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/105
253946,1,11,1,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/1
253952,1,11,1,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/1
254229,6,1,300,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/300
254380,8,1,300,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/300
254380,9,9,2,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/2
254415,1,1,250000,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/250000
254416,1,12,262139,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/262139
254416,40,8,12500,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/12500
254608,1,7,35000,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/35000
254608,515,8,12500,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/12500
254608,656,9,7500,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/7500
257612,1,5,60,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/60
257613,1,5,60,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/60
260478,1,2,150,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/150
272612,1,0,0,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/0
272617,1,0,0,HLT_Mu7p5_L2Mu2_Jpsi_v2/1,ONE,L1_DoubleMu0/0
