# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
254790,1,1,250,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/262139 L1_SingleMu7/250
254790,3,7,10,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/10 L1_SingleMu7/12
254833,1,1,250,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/262139 L1_SingleMu7/250
254833,126,6,20,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/20 L1_SingleMu7/25
254833,317,7,10,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/10 L1_SingleMu7/12
254879,1,1,250,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/262139 L1_SingleMu7/250
254879,33,7,10,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/10 L1_SingleMu7/12
254905,1,1,250,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/262139 L1_SingleMu7/250
254905,39,6,20,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/20 L1_SingleMu7/25
254906,1,6,20,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/20 L1_SingleMu7/25
254913,1,1,250,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/262139 L1_SingleMu7/250
254914,6,1,250,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/262139 L1_SingleMu7/250
256674,1,5,40,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
257461,1,1,250,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/262139 L1_SingleMu7/250
257461,35,5,40,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
257461,38,4,75,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/75 L1_SingleMu5/75
257461,69,5,40,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
257804,1,6,20,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/20 L1_SingleMu7/25
257804,6,5,40,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
257816,1,5,40,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
258159,1,5,40,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
258312,1,5,40,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
258313,1,5,40,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
258319,1,5,40,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
259464,1,10,2,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/2 L1_SingleMu7/3
259453,1,10,2,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/2 L1_SingleMu7/3
259456,1,10,2,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/2 L1_SingleMu7/3
