# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
179977,1,1,9600,HLT_Mu8_v12/40,ONE,L1_SingleMu3/240
179977,141,2,180,HLT_Mu8_v12/1,ONE,L1_SingleMu3/180
180251,1,2,7200,HLT_Mu8_v12/40,ONE,L1_SingleMu3/180
179959,1,0,24000,HLT_Mu8_v12/40,ONE,L1_SingleMu3/600
179959,62,1,9600,HLT_Mu8_v12/40,ONE,L1_SingleMu3/240
180072,1,0,24000,HLT_Mu8_v12/40,ONE,L1_SingleMu3/600
180072,2,1,9600,HLT_Mu8_v12/40,ONE,L1_SingleMu3/240
180072,62,4,7200,HLT_Mu8_v12/40,ONE,L1_SingleMu3/180
180072,80,0,24000,HLT_Mu8_v12/40,ONE,L1_SingleMu3/600
180072,105,2,180,HLT_Mu8_v12/1,ONE,L1_SingleMu3/180
180076,1,2,7200,HLT_Mu8_v12/40,ONE,L1_SingleMu3/180
180076,202,0,24000,HLT_Mu8_v12/40,ONE,L1_SingleMu3/600
180076,229,2,7200,HLT_Mu8_v12/40,ONE,L1_SingleMu3/180
180091,1,2,7200,HLT_Mu8_v12/40,ONE,L1_SingleMu3/180
180093,1,2,7200,HLT_Mu8_v12/40,ONE,L1_SingleMu3/180
180093,99,3,6400,HLT_Mu8_v12/40,ONE,L1_SingleMu3/160
180093,327,0,24000,HLT_Mu8_v12/40,ONE,L1_SingleMu3/600
180241,1,0,24000,HLT_Mu8_v12/40,ONE,L1_SingleMu3/600
180241,4,1,9600,HLT_Mu8_v12/40,ONE,L1_SingleMu3/240
180241,66,4,7200,HLT_Mu8_v12/40,ONE,L1_SingleMu3/180
180241,100,0,24000,HLT_Mu8_v12/40,ONE,L1_SingleMu3/600
180241,130,2,7200,HLT_Mu8_v12/40,ONE,L1_SingleMu3/180
180249,1,0,24000,HLT_Mu8_v12/40,ONE,L1_SingleMu3/600
180249,3,1,9600,HLT_Mu8_v12/40,ONE,L1_SingleMu3/240
180250,1,1,9600,HLT_Mu8_v12/40,ONE,L1_SingleMu3/240
180250,238,2,7200,HLT_Mu8_v12/40,ONE,L1_SingleMu3/180
180252,1,2,7200,HLT_Mu8_v12/40,ONE,L1_SingleMu3/180
316456,1,2,670,HLT_Mu8_v12/1,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/670
316455,1,2,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/670
316455,68,3,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu5/1700 L1_SingleMu3/22000
316457,1,2,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/670
316457,12,7,21440,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu3/22000 L1_SingleMu7/670
316457,19,3,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu5/1700 L1_SingleMu3/22000
316457,130,5,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu3/22000 L1_SingleMu5/1700
316457,143,2,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/670
316457,154,5,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu3/22000 L1_SingleMu5/1700
316457,161,4,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/670 L1_SingleMu5/1700
316457,416,5,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu3/22000 L1_SingleMu5/1700
316457,771,6,21440,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/670 L1_SingleMu3/22000
316457,1355,7,21440,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu3/22000 L1_SingleMu7/670
316664,1,2,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/670
316667,1,7,21440,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu3/22000 L1_SingleMu7/670
316665,1,2,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/670
316666,1,2,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/670
316666,3,4,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/670 L1_SingleMu5/1700
316666,182,5,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu3/22000 L1_SingleMu5/1700
316666,559,6,21440,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/670 L1_SingleMu3/22000
316666,906,7,21440,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu3/22000 L1_SingleMu7/670
319524,1,2,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/670
319524,264,3,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu5/1700 L1_SingleMu3/22000
319524,703,4,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/670 L1_SingleMu5/1700
319524,1248,5,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu3/22000 L1_SingleMu5/1700
319528,1,0,0,HLT_Mu8_v12/0,OR,L1_SingleMu7/0 L1_SingleMu5/0 L1_SingleMu3/0
319528,6,5,4480,HLT_Mu8_v12/32,OR,L1_SingleMu7/140 L1_SingleMu3/22000 L1_SingleMu5/1700
319528,111,10,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
319525,1,5,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu3/22000 L1_SingleMu5/1700
319527,1,0,0,HLT_Mu8_v12/1,OR,L1_SingleMu7/0 L1_SingleMu5/0 L1_SingleMu3/0
319521,1,2,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/670
319521,10,1,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/670
319521,15,3,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu5/1700 L1_SingleMu3/22000
319521,19,4,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/670 L1_SingleMu5/1700
319526,1,5,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu3/22000 L1_SingleMu5/1700
319526,184,6,21440,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/670 L1_SingleMu3/22000
319526,193,7,21440,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu3/22000 L1_SingleMu7/670
319526,195,6,21440,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/670 L1_SingleMu3/22000
319526,275,5,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu3/22000 L1_SingleMu5/1700
319506,1,0,0,HLT_Mu8_v12/0,OR,L1_SingleMu7/0 L1_SingleMu5/0 L1_SingleMu3/0
319506,11,5,4480,HLT_Mu8_v12/32,OR,L1_SingleMu7/140 L1_SingleMu3/22000 L1_SingleMu5/1700
319506,19,1,7040,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/220
319523,1,0,0,HLT_Mu8_v12/0,OR,L1_SingleMu7/0 L1_SingleMu5/0 L1_SingleMu3/0
319523,9,1,7040,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/220
319523,12,2,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
319523,16,3,5120,HLT_Mu8_v12/32,OR,L1_SingleMu7/160 L1_SingleMu5/1700 L1_SingleMu3/22000
319523,21,4,4480,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/140 L1_SingleMu5/1700
319523,26,5,4480,HLT_Mu8_v12/32,OR,L1_SingleMu7/140 L1_SingleMu3/22000 L1_SingleMu5/1700
319523,30,6,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/140 L1_SingleMu3/22000
319523,34,7,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu3/22000 L1_SingleMu7/140
319523,37,8,4480,HLT_Mu8_v12/32,OR,L1_SingleMu7/140 L1_SingleMu5/1700 L1_SingleMu3/22000
319523,42,9,4480,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/140
319523,44,10,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
319523,46,11,6400,HLT_Mu8_v12/32,OR,L1_SingleMu7/200 L1_SingleMu5/1700 L1_SingleMu3/22000
319523,48,12,4480,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/140 L1_SingleMu5/1700
319756,1,0,0,HLT_Mu8_v12/0,OR,L1_SingleMu7/0 L1_SingleMu5/0 L1_SingleMu3/0
319756,5,2,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
319756,176,3,5120,HLT_Mu8_v12/32,OR,L1_SingleMu7/160 L1_SingleMu5/1700 L1_SingleMu3/22000
319756,412,4,4480,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/140 L1_SingleMu5/1700
319756,702,5,4480,HLT_Mu8_v12/32,OR,L1_SingleMu7/140 L1_SingleMu3/22000 L1_SingleMu5/1700
319756,1056,6,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/140 L1_SingleMu3/22000
319756,1672,7,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu3/22000 L1_SingleMu7/140
319928,1,2,200,HLT_Mu8_v12/1,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
319991,1,2,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
319991,332,3,5120,HLT_Mu8_v12/32,OR,L1_SingleMu7/160 L1_SingleMu5/1700 L1_SingleMu3/22000
319991,544,4,4480,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/140 L1_SingleMu5/1700
319991,828,5,4480,HLT_Mu8_v12/32,OR,L1_SingleMu7/140 L1_SingleMu3/22000 L1_SingleMu5/1700
319992,1,5,4480,HLT_Mu8_v12/32,OR,L1_SingleMu7/140 L1_SingleMu3/22000 L1_SingleMu5/1700
319992,249,6,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/140 L1_SingleMu3/22000
319993,1,6,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/140 L1_SingleMu3/22000
319993,574,7,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu3/22000 L1_SingleMu7/140
320434,1,2,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
320757,1,2,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
320757,132,3,5120,HLT_Mu8_v12/32,OR,L1_SingleMu7/160 L1_SingleMu5/1700 L1_SingleMu3/22000
320855,1,4,4480,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/140 L1_SingleMu5/1700
320855,129,5,4480,HLT_Mu8_v12/32,OR,L1_SingleMu7/140 L1_SingleMu3/22000 L1_SingleMu5/1700
320855,448,6,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/140 L1_SingleMu3/22000
320853,1,2,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
320853,186,3,5120,HLT_Mu8_v12/32,OR,L1_SingleMu7/160 L1_SingleMu5/1700 L1_SingleMu3/22000
320859,1,7,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu3/22000 L1_SingleMu7/140
320854,1,3,5120,HLT_Mu8_v12/32,OR,L1_SingleMu7/160 L1_SingleMu5/1700 L1_SingleMu3/22000
320854,25,4,4480,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/140 L1_SingleMu5/1700
316505,1,2,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/670
316505,284,4,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/670 L1_SingleMu5/1700
316505,567,5,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu3/22000 L1_SingleMu5/1700
316505,846,6,21440,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/670 L1_SingleMu3/22000
316505,1247,7,21440,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu3/22000 L1_SingleMu7/670
316701,1,4,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/670 L1_SingleMu5/1700
316701,103,5,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu3/22000 L1_SingleMu5/1700
316701,389,6,21440,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/670 L1_SingleMu3/22000
316700,1,2,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/670
316700,299,4,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/670 L1_SingleMu5/1700
316702,1,6,21440,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/670 L1_SingleMu3/22000
316702,236,7,21440,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu3/22000 L1_SingleMu7/670
318182,1,2,670,HLT_Mu8_v12/1,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/670
320858,1,7,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu3/22000 L1_SingleMu7/140
320856,1,6,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/140 L1_SingleMu3/22000
320857,1,6,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/140 L1_SingleMu3/22000
320857,217,7,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu3/22000 L1_SingleMu7/140
321055,1,6,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/140 L1_SingleMu3/22000
321055,350,7,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu3/22000 L1_SingleMu7/140
317696,1,2,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/670
317696,251,3,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu5/1700 L1_SingleMu3/22000
317696,543,4,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/670 L1_SingleMu5/1700
319697,1,2,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
319697,28,12,4480,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/140 L1_SingleMu5/1700
319698,1,12,4480,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/140 L1_SingleMu5/1700
319907,1,2,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
319913,1,2,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
319913,3,6,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/140 L1_SingleMu3/22000
319908,1,2,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
319909,1,2,200,HLT_Mu8_v12/1,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
319914,1,2,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
319914,4,6,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/140 L1_SingleMu3/22000
319915,1,6,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/140 L1_SingleMu3/22000
319897,1,2,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
319910,1,2,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
319910,106,3,5120,HLT_Mu8_v12/32,OR,L1_SingleMu7/160 L1_SingleMu5/1700 L1_SingleMu3/22000
319910,248,4,4480,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/140 L1_SingleMu5/1700
319910,358,5,4480,HLT_Mu8_v12/32,OR,L1_SingleMu7/140 L1_SingleMu3/22000 L1_SingleMu5/1700
319910,642,6,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/140 L1_SingleMu3/22000
319912,1,2,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
319912,2,7,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu3/22000 L1_SingleMu7/140
320712,1,2,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
320712,82,3,5120,HLT_Mu8_v12/32,OR,L1_SingleMu7/160 L1_SingleMu5/1700 L1_SingleMu3/22000
320934,1,4,4480,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/140 L1_SingleMu5/1700
320934,169,5,4480,HLT_Mu8_v12/32,OR,L1_SingleMu7/140 L1_SingleMu3/22000 L1_SingleMu5/1700
320934,530,6,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/140 L1_SingleMu3/22000
320936,1,6,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/140 L1_SingleMu3/22000
320941,1,6,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu7/140 L1_SingleMu3/22000
320941,4,7,4480,HLT_Mu8_v12/32,OR,L1_SingleMu5/1700 L1_SingleMu3/22000 L1_SingleMu7/140
320933,1,2,6400,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/200
320933,52,4,4480,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/140 L1_SingleMu5/1700
317510,1,3,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu5/1700 L1_SingleMu3/22000
317509,1,2,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu5/1700 L1_SingleMu7/670
317509,197,3,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu5/1700 L1_SingleMu3/22000
317511,1,3,21440,HLT_Mu8_v12/32,OR,L1_SingleMu7/670 L1_SingleMu5/1700 L1_SingleMu3/22000
317511,33,4,21440,HLT_Mu8_v12/32,OR,L1_SingleMu3/22000 L1_SingleMu7/670 L1_SingleMu5/1700
